@_address,provider_id,geocode_flag,geocode_accuracy,geocoded_column,lat,lng,hospital_name,address,city,state,zip_code,county_name,phone_number,hospital_type,hospital_ownership,emergency_services,hospital_overall_rating,hospital_overall_rating_footnote,mortality_national_comparison,mortality_national_comparison_footnote,safety_of_care_national_comparison,safety_of_care_national_comparison_footnote,readmission_national_comparison,readmission_national_comparison_footnote,patient_experience_national_comparison,patient_experience_national_comparison_footnote,effectiveness_of_care_national_comparison,effectiveness_of_care_national_comparison_footnote,timeliness_of_care_national_comparison,timeliness_of_care_national_comparison_footnote,efficient_use_of_medical_imaging_national_comparison,efficient_use_of_medical_imaging_national_comparison_footnote
https://data.medicare.gov/resource/xubh-q36u/row-bh63_heg3-ryxh,360036,0,,POINT (-81.934247 40.820713),40.820713,-81.934247,WOOSTER COMMUNITY HOSPITAL,1761 BEALL AVENUE,WOOSTER,OH,44691,WAYNE,(330) 263-8100,Acute Care Hospitals,Government - Local,true,5,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-zkfj-xhi2.ce89,053310,0,,POINT (-118.286387 34.067708),34.067708,-118.286387,SHRINERS HOSPITALS FOR CHILDREN,3160 GENEVA STREET,LOS ANGELES,CA,90020,LOS ANGELES,(213) 388-3151,Childrens,Voluntary non-profit - Private,false,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-tfzi_r3ee-4azt,351305,1,ROOFTOP,,48.6742881,-102.0844703,KENMARE COMMUNITY HOSPITAL,PO BOX 697,KENMARE,ND,58746,WARD,(701) 385-4296,Critical Access Hospitals,Voluntary non-profit - Private,true,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Not Available,16
https://data.medicare.gov/resource/xubh-q36u/row-juye_fwj7_x4b6,370004,0,,POINT (-94.879772 36.872154),36.872154,-94.879772,INTEGRIS MIAMI HOSPITAL,200 SECOND AVENUE SOUTHWEST,MIAMI,OK,74355,OTTAWA,(918) 542-6611,Acute Care Hospitals,Voluntary non-profit - Other,true,3,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-8bcp.zfcu_zp36,390174,0,,POINT (-75.158761 39.949646),39.949646,-75.158761,THOMAS JEFFERSON UNIVERSITY HOSPITAL,111 SOUTH 11TH STREET,PHILADELPHIA,PA,19107,PHILADELPHIA,(215) 955-6000,Acute Care Hospitals,Voluntary non-profit - Private,true,1,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-2xtp-iu4z.fhj9,040118,0,,POINT (-90.639107 35.864204),35.864204,-90.639107,NEA BAPTIST MEMORIAL HOSPITAL,4800 EAST JOHNSON AVENUE,JONESBORO,AR,72401,CRAIGHEAD,(870) 972-7000,Acute Care Hospitals,Voluntary non-profit - Private,true,2,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Below the national average,,Above the national average,,Below the national average,
https://data.medicare.gov/resource/xubh-q36u/row-h8d4~72pk-88se,281301,1,ROOFTOP,,40.5243546,-97.5877126,FILLMORE COUNTY HOSPITAL,"P O BOX 193, 1900 F STREET",GENEVA,NE,68361,FILLMORE,(402) 759-3167,Critical Access Hospitals,Government - Local,true,4,,Not Available,5,Not Available,5,Same as the national average,,Above the national average,,Not Available,5,Above the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-nap2.kaue_yw5q,161344,0,,POINT (-91.687341 41.288507),41.288507,-91.687341,WASHINGTON COUNTY HOSPITAL AND CLINICS,400 EAST POLK STREET,WASHINGTON,IA,52353,WASHINGTON,(319) 653-5481,Critical Access Hospitals,Voluntary non-profit - Other,true,4,,Same as the national average,,Not Available,5,Above the national average,,Above the national average,,Not Available,16,Not Available,16,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-w9t4~7ucu~gmfz,050444,0,,POINT (-120.465214 37.340122),37.340122,-120.465214,MERCY MEDICAL CENTER,333 MERCY AVENUE,MERCED,CA,95340,MERCED,(209) 564-5000,Acute Care Hospitals,Voluntary non-profit - Private,true,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-c7wf~kq6n~bukb,110209,0,,POINT (-83.77355 31.129247),31.129247,-83.77355,TURNING POINT HOSPITAL,3015 VETERANS PARKWAY,MOULTRIE,GA,31788,COLQUITT,(229) 985-4815,Acute Care Hospitals,Proprietary,false,Not Available,16,Not Available,16,Not Available,5,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,16
https://data.medicare.gov/resource/xubh-q36u/row-yeuf.js9v_q9as,471301,0,,POINT (-72.666255 43.917547),43.917547,-72.666255,GIFFORD MEDICAL CENTER,44 SOUTH MAIN STREET,RANDOLPH,VT,05060,ORANGE,(802) 728-4441,Critical Access Hospitals,Voluntary non-profit - Private,true,4,,Same as the national average,,Not Available,5,Below the national average,,Same as the national average,,Same as the national average,,Not Available,16,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-rbnp.bwv9_mqp6,094004,0,,POINT (-77.077592 38.944172),38.944172,-77.077592,PSYCHIATRIC INSTITUTE OF WASHINGTON DC,"4228 WISCONSIN AVENUE, NW",WASHINGTON,DC,20016,THE DISTRICT,(202) 885-5600,Psychiatric,Voluntary non-profit - Private,false,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-vetj.iiwc~m6pr,174020,0,,POINT (-94.768837 38.885884),38.885884,-94.768837,COTTONWOOD SPRINGS LLC,13351 S ARAPAHO DRIVE,OLATHE,KS,66062,JOHNSON,(913) 353-3000,Psychiatric,Proprietary,false,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-932e.bf5e.fdxt,341319,0,,POINT (-82.715196 35.256324),35.256324,-82.715196,"TRANSYLVANIA REGIONAL HOSPITAL, INC",90 HOSPITAL DRIVE PO BOX 1116,BREVARD,NC,28712,TRANSYLVANIA,(828) 883-5302,Critical Access Hospitals,Voluntary non-profit - Private,true,4,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-zsdr~jsyr_9q9c,410012,0,,POINT (-71.397562 41.851653),41.851653,-71.397562,THE MIRIAM HOSPITAL,164 SUMMIT AVENUE,PROVIDENCE,RI,02906,PROVIDENCE,(401) 793-2500,Acute Care Hospitals,Voluntary non-profit - Private,true,3,,Above the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Above the national average,
https://data.medicare.gov/resource/xubh-q36u/row-eqjh_iqnh-wsnp,070040,0,,POINT (-72.728931 41.802774),41.802774,-72.728931,HEBREW HOME AND HOSPITAL INC,1 ABRAHMS BOULEVARD,WEST HARTFORD,CT,06117,HARTFORD,(860) 523-3800,Acute Care Hospitals,Voluntary non-profit - Private,false,Not Available,16,Not Available,5,Not Available,5,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,16
https://data.medicare.gov/resource/xubh-q36u/row-98z6_ymvq~u2mi,360032,0,,POINT (-84.369836 40.545139),40.545139,-84.369836,GRAND LAKE HEALTH SYSTEM,200 SAINT CLAIR STREET,SAINT MARYS,OH,45885,AUGLAIZE,(419) 394-3335,Acute Care Hospitals,Voluntary non-profit - Private,true,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-iny2.6yju.g3qs,180005,0,,POINT (-82.77025 37.71054),37.71054,-82.77025,HIGHLANDS REGIONAL MEDICAL CENTER,5000 KENTUCKY ROUTE 321,PRESTONSBURG,KY,41653,FLOYD,(606) 886-8511,Acute Care Hospitals,Proprietary,true,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-addx-8ax4.us6v,391313,0,,POINT (-77.979741 41.770667),41.770667,-77.979741,UPMC COLE,1001 EAST SECOND STREET,COUDERSPORT,PA,16915,POTTER,(814) 274-9301,Critical Access Hospitals,Voluntary non-profit - Other,true,4,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-xhy6~mapr~umkr,200024,0,,POINT (-70.214557 44.100976),44.100976,-70.214557,CENTRAL MAINE MEDICAL CENTER,300 MAIN STREET,LEWISTON,ME,04240,ANDROSCOGGIN,(207) 795-0111,Acute Care Hospitals,Voluntary non-profit - Private,true,2,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-rx2u.ys9t~8f9q,02014F,0,,POINT (-147.664767 64.827788),64.827788,-147.664767,Bassett ACH (FT Wainwright),4076 Neely Road,Fort Wainwright,AK,99703,FAIRBANKS NORTH STAR,(907) 361-4000,Acute Care - Department of Defense,Department of Defense,true,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22
https://data.medicare.gov/resource/xubh-q36u/row-quy7.rbde-cdcc,460054,0,,POINT (-111.823092 41.775714),41.775714,-111.823092,CACHE VALLEY  HOSPITAL,2380 NORTH 400 EAST,NORTH LOGAN,UT,84341,CACHE,(435) 713-9580,Acute Care Hospitals,Proprietary,true,Not Available,16,Not Available,16,Not Available,5,Not Available,5,Same as the national average,,Same as the national average,,Above the national average,,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-yf7w-c43e.mvn6,040050,1,ROOFTOP,,33.5758644,-92.8362602,OUACHITA COUNTY MEDICAL CENTER,638 CALIFORNIA AVENUE,CAMDEN,AR,71701,OUACHITA,(870) 836-1000,Acute Care Hospitals,Voluntary non-profit - Private,true,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-nwq8.dchf-ph6y,453309,0,,POINT (-95.580593 29.732317),29.732317,-95.580593,HEALTHBRIDGE CHILDRENS'S HOSPITAL OF HOUSTON,2929 WOODLAND PARK DRIVE,HOUSTON,TX,77082,HARRIS,(281) 293-7774,Childrens,Proprietary,false,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-ik5a_fj2t_xvzd,171357,0,,POINT (-97.187589 38.361495),38.361495,-97.187589,HILLSBORO COMMUNITY HOSPITAL,101 INDUSTRIAL ROAD,HILLSBORO,KS,67063,MARION,(620) 947-3114,Critical Access Hospitals,Proprietary,false,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,16
https://data.medicare.gov/resource/xubh-q36u/row-422i~a2cq-j6nr,360352,0,,POINT (-80.653439 41.015355),41.015355,-80.653439,SURGICAL HOSPITAL AT SOUTHWOODS,7630 SOUTHERN BLVD,YOUNGSTOWN,OH,44512,MAHONING,(330) 729-8000,Acute Care Hospitals,Proprietary,false,5,,Not Available,16,Above the national average,,Not Available,5,Above the national average,,Same as the national average,,Not Available,16,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-zzb6-y5xk.yxhu,281348,0,,POINT (-100.179667 40.279904),40.279904,-100.179667,TRI VALLEY HEALTH SYSTEM,1305 WEST HIGHWAY 6/34,CAMBRIDGE,NE,69022,FURNAS,(308) 697-3329,Critical Access Hospitals,Voluntary non-profit - Private,true,Not Available,16,Not Available,5,Not Available,16,Same as the national average,,Not Available,16,Not Available,16,Not Available,5,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-iq68~7hvz.5n6c,390151,0,,POINT (-77.647451 39.934915),39.934915,-77.647451,CHAMBERSBURG HOSPITAL,112 NORTH SEVENTH STREET,CHAMBERSBURG,PA,17201,FRANKLIN,(717) 267-3000,Acute Care Hospitals,Voluntary non-profit - Private,true,5,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-574n_fdpb-emzy,190027,0,,POINT (-93.22767 30.215437),30.215437,-93.22767,CHRISTUS OCHSNER ST PATRICK HOSPITAL,524 DR MICHAEL DEBAKEY STREET,LAKE CHARLES,LA,70601,CALCASIEU,(337) 436-2511,Acute Care Hospitals,Voluntary non-profit - Private,true,2,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-bxir_c4z7.hk8y,501329,0,,POINT (-122.275287 48.495516),48.495516,-122.275287,PEACEHEALTH UNITED GENERAL MEDICAL CENTER,2000 HOSPITAL DRIVE,SEDRO WOOLLEY,WA,98284,SKAGIT,(360) 856-6021,Critical Access Hospitals,Government - Hospital District or Authority,true,3,,Same as the national average,,Not Available,5,Below the national average,,Not Available,16,Same as the national average,,Same as the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-i4xu_nq63_3y5r,024001,0,,POINT (-149.834246 61.20808),61.20808,-149.834246,NORTH STAR HOSPITAL,2530 DEBARR RD,ANCHORAGE,AK,99508,ANCHORAGE,(907) 264-3526,Psychiatric,Proprietary,true,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-j6wx.73xx-wqrm,050547,0,,POINT (-122.51691 38.349027),38.349027,-122.51691,SONOMA DEVELOPMENTAL CENTER,15000 ARNOLD DRIVE   /  P O BOX 1493,ELDRIDGE,CA,95431,SONOMA,(707) 938-6000,Acute Care Hospitals,Government - State,false,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-qcnh-udu6_8sdp,520138,0,,POINT (-87.949346 42.988612),42.988612,-87.949346,AURORA ST LUKES MEDICAL CENTER,2900 W OKLAHOMA AVE,MILWAUKEE,WI,53215,MILWAUKEE,(414) 649-6000,Acute Care Hospitals,Voluntary non-profit - Private,true,3,,Above the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-55f2~6g7b_y7ku,111304,0,,POINT (-83.472004 33.567545),33.567545,-83.472004,MORGAN MEDICAL CENTER,1740 LIONS CLUB ROAD,MADISON,GA,30650,MORGAN,(706) 342-1667,Critical Access Hospitals,Government - Hospital District or Authority,true,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Above the national average,,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-4d2n_cq7g-qn33,100191,0,,POINT (-82.660964 28.206014),28.206014,-82.660964,MEDICAL CENTER OF TRINITY,"9330 SR 54, STE 401",TRINITY,FL,34655,PASCO,(727) 834-4900,Acute Care Hospitals,Proprietary,true,2,,Below the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Above the national average,
https://data.medicare.gov/resource/xubh-q36u/row-6smt_snvy_988f,230019,0,,POINT (-83.205163 42.459196),42.459196,-83.205163,ASCENSION PROVIDENCE HOSPITAL,16001 W NINE MILE RD,SOUTHFIELD,MI,48075,OAKLAND,(248) 849-3011,Acute Care Hospitals,Voluntary non-profit - Church,true,5,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-x625-ypig_3gjv,140292,0,,POINT (-88.058597 41.915166),41.915166,-88.058597,ADVENTIST GLENOAKS,701 WINTHROP AVENUE,GLENDALE HEIGHTS,IL,60139,DU PAGE,(630) 545-8000,Acute Care Hospitals,Voluntary non-profit - Other,false,2,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-sdu5~chdd.q8pw,404004,1,APPROXIMATE,,18.1757914,-66.1612779,FIRST HOSPITAL PANAMERICANO,STATE ROAD 787 KM 1  5,CIDRA,PR,00739,CIDRA,(787) 739-5555,Psychiatric,Proprietary,false,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-dts4-5nuv_aeb4,104008,0,,POINT (-80.066861 26.753243),26.753243,-80.066861,"THE JEROME GOLDEN CENTER FOR BEHAVIORAL HEALTH, IN",1041 45TH ST,WEST PALM BEACH,FL,33407,PALM BEACH,(561) 844-9741,Psychiatric,Voluntary non-profit - Private,true,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-mrqt_jczt_crz9,050096,0,,POINT (-117.944166 34.070928),34.070928,-117.944166,"WEST COVINA MEDICAL CENTER, INC",725 S ORANGE AVE,WEST COVINA,CA,91790,LOS ANGELES,(626) 338-8481,Acute Care Hospitals,Proprietary,false,Not Available,16,Not Available,5,Not Available,5,Above the national average,,Not Available,16,Not Available,5,Not Available,16,Not Available,16
https://data.medicare.gov/resource/xubh-q36u/row-8gf9.uu5h~mgkd,340030,1,ROOFTOP,,36.0075052,-78.938442,DUKE UNIVERSITY HOSPITAL,PO BOX 3814 DUMC  ERWIN RD,DURHAM,NC,27710,DURHAM,(919) 684-8111,Acute Care Hospitals,Proprietary,true,4,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-h474-fx88_e6is,050747,0,,POINT (-117.88541 33.710692),33.710692,-117.88541,SOUTH COAST GLOBAL MEDICAL CENTER,2701 S BRISTOL ST,SANTA ANA,CA,92704,ORANGE,(714) 754-5454,Acute Care Hospitals,Proprietary,true,2,,Not Available,5,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-x46j~x8gz.ndk4,220119,0,,POINT (-71.127203 42.300886),42.300886,-71.127203,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,02130,SUFFOLK,(617) 983-7000,Acute Care Hospitals,Voluntary non-profit - Private,true,5,,Above the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-kfzq~stzn~vtav,360109,0,,POINT (-81.847577 40.270442),40.270442,-81.847577,COSHOCTON REGIONAL MEDICAL CENTER,1460 ORANGE STREET,COSHOCTON,OH,43812,COSHOCTON,(740) 623-4144,Acute Care Hospitals,Voluntary non-profit - Private,true,3,,Same as the national average,,Not Available,5,Same as the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-cy2n.fbzb~m6ce,161339,0,,POINT (-92.481802 42.723668),42.723668,-92.481802,WAVERLY HEALTH CENTER,312  9TH STREET SW,WAVERLY,IA,50677,BREMER,(319) 352-4120,Critical Access Hospitals,Government - Local,true,4,,Same as the national average,,Not Available,5,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-yr69~qb3q~7yf3,241366,0,,POINT (-94.528031 45.120003),45.120003,-94.528031,MEEKER MEMORIAL HOSPITAL,612 SOUTH SIBLEY AVENUE,LITCHFIELD,MN,55355,MEEKER,(320) 693-4507,Critical Access Hospitals,Government - Local,true,Not Available,16,Not Available,16,Not Available,5,Not Available,5,Same as the national average,,Same as the national average,,Above the national average,,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-7m75.eizi~hrs5,670087,0,,POINT (-97.820177 30.523951),30.523951,-97.820177,BAYLOR SCOTT & WHITE EMERGENCY MEDICAL CENTER AT C,900 EAST WHITESTONE BLVD,CEDAR PARK,TX,78613,WILLIAMSON,(512) 684-4911,Acute Care Hospitals,Government - Hospital District or Authority,true,Not Available,16,Not Available,16,Not Available,5,Not Available,16,Not Available,16,Not Available,5,Above the national average,,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-rabs-2sar-uqwy,190267,0,,POINT (-90.082943 30.408713),30.408713,-90.082943,AVALA,67252 INDUSTRY LANE,COVINGTON,LA,70433,ST. TAMMANY,(985) 801-3010,Acute Care Hospitals,Physician,false,Not Available,16,Not Available,16,Not Available,5,Not Available,5,Above the national average,,Same as the national average,,Not Available,16,Not Available,16
https://data.medicare.gov/resource/xubh-q36u/row-8tz9.m6xe_x3bv,490021,0,,POINT (-79.169753 37.416648),37.416648,-79.169753,"CENTRA  HEALTH, INC",1901 TATE SPRINGS ROAD,LYNCHBURG,VA,24501,LYNCHBURG CITY,(434) 200-4789,Acute Care Hospitals,Voluntary non-profit - Private,true,4,,Above the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,
https://data.medicare.gov/resource/xubh-q36u/row-8e5m_vbcg_jbzn,390057,0,,POINT (-75.324169 40.362567),40.362567,-75.324169,GRAND VIEW HOSPITAL,700 LAWN AVENUE,SELLERSVILLE,PA,18960,BUCKS,(215) 453-4615,Acute Care Hospitals,Voluntary non-profit - Other,true,2,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-iu46.q4ct-dias,184014,0,,POINT (-87.469309 36.738035),36.738035,-87.469309,CUMBERLAND HALL,270 WALTON WAY,HOPKINSVILLE,KY,42240,CHRISTIAN,(270) 886-1919,Psychiatric,Proprietary,false,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-gzeq-cd5a~puya,241381,0,,POINT (-96.197788 48.088654),48.088654,-96.197788,SANFORD MEDICAL CENTER THIEF RIVER FALLS,3001 SANFORD PARKWAY,THIEF RIVER FALLS,MN,56701,PENNINGTON,(218) 681-4240,Critical Access Hospitals,Voluntary non-profit - Private,true,3,,Not Available,5,Not Available,5,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-5bf3_hk4u~74wb,330403,0,,POINT (-77.616078 43.111856),43.111856,-77.616078,MONROE COMMUNITY HOSPITAL,435 EAST HENRIETTA ROAD,ROCHESTER,NY,14620,MONROE,(585) 760-6500,Acute Care Hospitals,Voluntary non-profit - Other,false,Not Available,16,Not Available,16,Not Available,5,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16
https://data.medicare.gov/resource/xubh-q36u/row-nhvc-v4py.tnm6,011305,0,,POINT (-86.493059 33.932537),33.932537,-86.493059,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA,AL,35121,BLOUNT,(205) 274-3000,Critical Access Hospitals,Voluntary non-profit - Private,false,3,,Same as the national average,,Not Available,5,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-t5e6_6yt9-p5p4,520071,0,,POINT (-88.827933 42.929969),42.929969,-88.827933,FORT MEMORIAL HOSPITAL,611 SHERMAN AVE E,FORT ATKINSON,WI,53538,JEFFERSON,(920) 568-5000,Acute Care Hospitals,Voluntary non-profit - Private,true,5,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-c6yc_xi6t-5yr5,460014,1,ROOFTOP,,40.5663676,-112.2978893,MOUNTAIN WEST MEDICAL CENTER,2055 NORTH MAIN STREET,TOOELE,UT,84074,TOOELE,(435) 843-3700,Acute Care Hospitals,Proprietary,true,4,,Same as the national average,,Not Available,5,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-7zvs~rszm-n4ux,331309,0,,POINT (-75.920022 44.337217),44.337217,-75.920022,RIVER HOSPITAL CLINICS,4 FULLER STREET,ALEXANDRIA BAY,NY,13607,JEFFERSON,(315) 482-2511,Critical Access Hospitals,Voluntary non-profit - Private,true,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Same as the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-pqif.t272~fprv,314019,0,,POINT (-74.171489 40.98457),40.98457,-74.171489,RAMAPO RIDGE PSYCH HOSP,301 SICOMAC AVE,WYCKOFF,NJ,07481,BERGEN,(201) 848-5805,Psychiatric,Voluntary non-profit - Private,false,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-f3ni_a74v_j5mm,400113,1,GEOMETRIC_CENTER,,18.0489279,-66.5531847,HOSPITAL SAN CRISTOBAL,CARR 506 KM 1 0,COTO LAUREL,PR,00780,PONCE,(787) 848-2100,Acute Care Hospitals,Voluntary non-profit - Private,true,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Not Available,16,Not Available,16,Not Available,16,Not Available,16
https://data.medicare.gov/resource/xubh-q36u/row-vn68~pffk.vft9,154019,0,,POINT (-85.401937 38.761664),38.761664,-85.401937,MADISON STATE HOSPITAL,711 GREEN RD,MADISON,IN,47250,JEFFERSON,(812) 265-2611,Psychiatric,Government - State,true,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19
https://data.medicare.gov/resource/xubh-q36u/row-n689-ji7q_qdqg,050103,1,ROOFTOP,,34.0492967,-118.2171632,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,(323) 268-5000,Acute Care Hospitals,Voluntary non-profit - Church,false,3,,Above the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,
https://data.medicare.gov/resource/xubh-q36u/row-c7ws-qdsc.ahy5,451359,0,,POINT (-100.799798 36.369691),36.369691,-100.799798,OCHILTREE GENERAL HOSPITAL,3101 GARRETT DRIVE,PERRYTON,TX,79070,OCHILTREE,(806) 435-3606,Critical Access Hospitals,Government - Hospital District or Authority,true,4,,Same as the national average,,Not Available,16,Above the national average,,Not Available,16,Same as the national average,,Above the national average,,Not Available,5
https://data.medicare.gov/resource/xubh-q36u/row-3sc9_deg3~u7uk,230118,0,,POINT (-83.030815 43.802234),43.802234,-83.030815,MCLAREN THUMB REGION,1100 SOUTH VAN DYKE ROAD,BAD AXE,MI,48413,HURON,(989) 269-9521,Acute Care Hospitals,Voluntary non-profit - Private,true,5,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,
